sample number, VIN1+(V), VIN1-(V)
sample number, VIN1+(V), VIN1-(V)
0, 3.500000,  0.9 
1, 3.500000,  0.904942 
2, 3.500000,  0.91002 
3, 3.500000,  0.915098 
4, 3.500000,  0.920176 
5, 3.500000,  0.925254 
6, 3.500000,  0.930333 
7, 3.500000,  0.935411 
8, 3.500000,  0.940489 
9, 3.500000,  0.945567 
10, 3.500000,  0.950645 
11, 3.500000,  0.955723 
12, 3.500000,  0.960801 
13, 3.500000,  0.965879 
14, 3.500000,  0.970958 
15, 3.500000,  0.976036 
16, 3.500000,  0.981114 
17, 3.500000,  0.986192 
18, 3.500000,  0.99127 
19, 3.500000,  0.996348 
20, 3.500000,  1.00143 
21, 3.500000,  1.0065 
22, 3.500000,  1.01158 
23, 3.500000,  1.01666 
24, 3.500000,  1.02174 
25, 3.500000,  1.02682 
26, 3.500000,  1.0319 
27, 3.500000,  1.03697 
28, 3.500000,  1.04205 
29, 3.500000,  1.04713 
30, 3.500000,  1.05221 
31, 3.500000,  1.05729 
32, 3.500000,  1.06236 
33, 3.500000,  1.06744 
34, 3.500000,  1.07252 
35, 3.500000,  1.0776 
36, 3.500000,  1.08268 
37, 3.500000,  1.08775 
38, 3.500000,  1.09283 
39, 3.500000,  1.09791 
40, 3.500000,  1.10299 
41, 3.500000,  1.10807 
42, 3.500000,  1.11315 
43, 3.500000,  1.11822 
44, 3.500000,  1.1233 
45, 3.500000,  1.12838 
46, 3.500000,  1.13346 
47, 3.500000,  1.13854 
48, 3.500000,  1.14361 
49, 3.500000,  1.14869 
50, 3.500000,  1.15377 
51, 3.500000,  1.15885 
52, 3.500000,  1.16393 
53, 3.500000,  1.169 
54, 3.500000,  1.17408 
55, 3.500000,  1.17916 
56, 3.500000,  1.18424 
57, 3.500000,  1.18932 
58, 3.500000,  1.1944 
59, 3.500000,  1.19947 
60, 3.500000,  1.20455 
61, 3.500000,  1.20963 
62, 3.500000,  1.21471 
63, 3.500000,  1.21979 
