sample number, Q11~Q0
sample number, Q11~Q0
0, 111000000000 , 
1, 111000000000 , 
2, 111000000000 , 
3, 111000000000 , 
4, 111000000000 , 
5, 111000000000 , 
6, 111000000000 , 
7, 111000000000 , 
8, 111111111010 , 
9, 111111110100 , 
10, 111111101111 , 
11, 111111101001 , 
12, 111111100011 , 
13, 111111011101 , 
14, 111111010111 , 
15, 111111010001 , 
16, 111111001011 , 
17, 111111000110 , 
18, 111111000000 , 
19, 111110111010 , 
20, 111110110100 , 
21, 111110101111 , 
22, 111110101001 , 
23, 111110100011 , 
24, 111110011101 , 
25, 111110010111 , 
26, 111110010001 , 
27, 111110001100 , 
28, 111110000110 , 
29, 111110000000 , 
30, 111101111010 , 
31, 111101110100 , 
32, 111101101111 , 
33, 111101101001 , 
34, 111101100011 , 
35, 111101011101 , 
36, 111101010111 , 
37, 111101010001 , 
38, 111101001100 , 
39, 111101000110 , 
40, 111101000000 , 
41, 111100111010 , 
42, 111100110100 , 
43, 111100101111 , 
44, 111100101001 , 
45, 111100100011 , 
46, 111100011101 , 
47, 111100010111 , 
48, 111100010001 , 
49, 111100001100 , 
50, 111100000110 , 
51, 111100000000 , 
52, 111011111010 , 
53, 111011110100 , 
54, 111011101111 , 
55, 111011101001 , 
56, 111011100011 , 
57, 111011011101 , 
58, 111011010111 , 
59, 111011010010 , 
60, 111011001100 , 
61, 111011000110 , 
62, 111011000000 , 
63, 111010111010 , 
64, 111010110101 , 
65, 111010101111 , 
66, 111010101001 , 
67, 111010100011 , 
68, 111010011101 , 
69, 111010011000 , 
70, 111010010010 , 
71, 111010001100 , 
72, 111010000110 , 
73, 111010000000 , 
74, 111001111011 , 
75, 111001110101 , 
76, 111001101111 , 
77, 111001101001 , 
78, 111001100011 , 
79, 111001011110 , 
80, 111001011000 , 
81, 111001010010 , 
82, 111001001100 , 
83, 111001000110 , 
84, 111001000001 , 
85, 111000111011 , 
86, 111000110101 , 
87, 111000101111 , 
88, 111000101001 , 
89, 111000100011 , 
90, 111000011110 , 
91, 111000011000 , 
92, 111000010010 , 
93, 111000001100 , 
94, 111000000110 , 
95, 110101100110 , 
96, 110101100000 , 
97, 110101011010 , 
98, 110101010100 , 
99, 110101001111 , 
100, 110101001001 , 
101, 110101000011 , 
102, 110100111101 , 
103, 110100110111 , 
104, 110100110010 , 
105, 110100101100 , 
106, 110100100110 , 
107, 110100100000 , 
108, 110100011010 , 
109, 110100010101 , 
110, 110100001111 , 
111, 110100001001 , 
112, 110100000011 , 
113, 110011111101 , 
114, 110011110111 , 
115, 110011110010 , 
116, 110011101100 , 
117, 110011100110 , 
118, 110011100000 , 
119, 110011011010 , 
120, 110011010101 , 
121, 110011001111 , 
122, 110011001001 , 
123, 110011000011 , 
124, 110010111101 , 
125, 110010111000 , 
126, 110010110010 , 
127, 110010101100 , 
128, 110010100110 , 
129, 110010100000 , 
130, 110010011011 , 
131, 110010010101 , 
132, 110010001111 , 
133, 110010001001 , 
134, 110010000011 , 
135, 110001111110 , 
136, 110001111000 , 
137, 110001110010 , 
138, 110001101100 , 
139, 110001100110 , 
140, 110001100001 , 
141, 110001011011 , 
142, 110001010101 , 
143, 110001001111 , 
144, 110001001001 , 
145, 110001000011 , 
146, 110000111110 , 
147, 110000111000 , 
148, 110000110010 , 
149, 110000101100 , 
150, 110000100110 , 
151, 110000100001 , 
152, 110000011011 , 
153, 110000010101 , 
154, 110000001111 , 
155, 110000001010 , 
156, 110000000100 , 
157, 101101100011 , 
158, 101101011101 , 
159, 101101011000 , 
160, 101101010010 , 
161, 101101001100 , 
162, 101101000110 , 
163, 101101000000 , 
164, 101100111010 , 
165, 101100110101 , 
166, 101100101111 , 
167, 101100101001 , 
168, 101100100011 , 
169, 101100011101 , 
170, 101100011000 , 
171, 101100010010 , 
172, 101100001100 , 
173, 101100000110 , 
174, 101100000000 , 
175, 101011111010 , 
176, 101011110101 , 
177, 101011101111 , 
178, 101011101001 , 
179, 101011100011 , 
180, 101011011101 , 
181, 101011011000 , 
182, 101011010010 , 
183, 101011001100 , 
184, 101011000110 , 
185, 101011000000 , 
186, 101010111010 , 
187, 101010110101 , 
188, 101010101111 , 
189, 101010101001 , 
190, 101010100011 , 
191, 101010011101 , 
192, 101010011000 , 
193, 101010010010 , 
194, 101010001100 , 
195, 101010000110 , 
196, 101010000000 , 
197, 101001111011 , 
198, 101001110101 , 
199, 101001101111 , 
200, 101001101001 , 
201, 101001100011 , 
202, 101001011110 , 
203, 101001011000 , 
204, 101001010010 , 
205, 101001001100 , 
206, 101001000110 , 
207, 101001000001 , 
208, 101000111011 , 
209, 101000110101 , 
210, 101000101111 , 
211, 101000101001 , 
212, 101000100011 , 
213, 101000011110 , 
214, 101000011000 , 
215, 101000010010 , 
216, 101000001100 , 
217, 101000000110 , 
218, 100101100110 , 
219, 100101100000 , 
220, 100101011011 , 
221, 100101010101 , 
222, 100101001111 , 
223, 100101001001 , 
224, 100101000011 , 
225, 100100111110 , 
226, 100100111000 , 
227, 100100110010 , 
228, 100100101100 , 
229, 100100100110 , 
230, 100100100001 , 
231, 100100011011 , 
232, 100100010101 , 
233, 100100001111 , 
234, 100100001001 , 
235, 100100000011 , 
236, 100011111110 , 
237, 100011111000 , 
238, 100011110010 , 
239, 100011101100 , 
240, 100011100110 , 
241, 100011100001 , 
242, 100011011011 , 
243, 100011010101 , 
244, 100011001111 , 
245, 100011001001 , 
246, 100011000011 , 
247, 100010111110 , 
248, 100010111000 , 
249, 100010110010 , 
250, 100010101100 , 
251, 100010100110 , 
252, 100010100001 , 
253, 100010011011 , 
254, 100010010101 , 
255, 100010001111 , 
256, 100010001001 , 
257, 100010000011 , 
258, 100001111110 , 
259, 100001111000 , 
260, 100001110010 , 
261, 100001101100 , 
262, 100001100110 , 
263, 100001100001 , 
264, 100001011011 , 
265, 100001010101 , 
266, 100001001111 , 
267, 100001001001 , 
268, 100001000100 , 
269, 100000111110 , 
270, 100000111000 , 
271, 100000110010 , 
272, 100000101101 , 
273, 100000100111 , 
274, 100000100001 , 
275, 100000011011 , 
276, 100000010101 , 
277, 100000010000 , 
278, 100000001010 , 
279, 100000000100 , 
280, 011101100011 , 
281, 011101011110 , 
282, 011101011000 , 
283, 011101010010 , 
284, 011101001100 , 
285, 011101000110 , 
286, 011101000001 , 
287, 011100111011 , 
288, 011100110101 , 
