sample number, Q11~Q0
sample number, Q11~Q0
0, 001011010111 , 
1, 001011001110 , 
2, 001011000100 , 
3, 001010111011 , 
4, 001010110001 , 
5, 001010100111 , 
6, 001010011101 , 
7, 001010010100 , 
8, 001010001010 , 
9, 001010000000 , 
10, 001001110111 , 
11, 001001101101 , 
12, 001001100011 , 
13, 001001011001 , 
14, 001001010000 , 
15, 001001000110 , 
16, 001000111100 , 
17, 001000110010 , 
18, 001000101001 , 
19, 001000011111 , 
20, 001000010101 , 
21, 001000001011 , 
22, 010110000101 , 
23, 010101111011 , 
24, 010101110010 , 
25, 010101101000 , 
26, 010101011111 , 
27, 010101010101 , 
28, 010101001011 , 
29, 010101000010 , 
30, 010100111000 , 
31, 010100101110 , 
32, 010100100101 , 
33, 010100011011 , 
34, 010100010001 , 
35, 010100001000 , 
36, 010011111110 , 
37, 010011110100 , 
38, 010011101011 , 
39, 010011100001 , 
40, 010011010111 , 
41, 010011001110 , 
42, 010011000100 , 
43, 010010111011 , 
44, 010010110001 , 
45, 010010100111 , 
46, 010010011101 , 
47, 010010010100 , 
48, 010010001010 , 
49, 010010000000 , 
50, 010001110110 , 
51, 010001101101 , 
52, 010001100011 , 
53, 010001011001 , 
54, 010001010000 , 
55, 010001000110 , 
56, 010000111100 , 
57, 010000110010 , 
58, 010000101000 , 
59, 010000011111 , 
60, 010000010101 , 
61, 010000001011 , 
62, 011110000101 , 
63, 011101111011 , 
64, 011101110010 , 
65, 011101101000 , 
66, 011101011111 , 
67, 011101010101 , 
68, 011101001011 , 
69, 011101000010 , 
70, 011100111000 , 
71, 011100101111 , 
72, 011100100101 , 
73, 011100011011 , 
74, 011100010001 , 
75, 011100001000 , 
76, 011011111110 , 
77, 011011110101 , 
78, 011011101011 , 
79, 011011100001 , 
80, 011011011000 , 
81, 011011001110 , 
82, 011011000100 , 
83, 011010111010 , 
84, 011010110001 , 
85, 011010100111 , 
86, 011010011101 , 
87, 011010010100 , 
88, 011010001010 , 
89, 011010000000 , 
90, 011001110110 , 
91, 011001101101 , 
92, 011001100011 , 
93, 011001011001 , 
94, 011001010000 , 
95, 011001000110 , 
96, 011000111100 , 
97, 011000110010 , 
98, 011000101000 , 
99, 011000011111 , 
100, 011000010101 , 
101, 011000001011 , 
102, 100110000101 , 
103, 100101111011 , 
104, 100101110010 , 
105, 100101101000 , 
106, 100101011111 , 
107, 100101010101 , 
108, 100101001011 , 
109, 100101000010 , 
110, 100100111000 , 
111, 100100101110 , 
112, 100100100101 , 
113, 100100011011 , 
114, 100100010001 , 
115, 100100001000 , 
116, 100011111110 , 
117, 100011110100 , 
118, 100011101011 , 
119, 100011100001 , 
120, 100011010111 , 
121, 100011001110 , 
