sample number, VIN1+(V), VIN1-(V)
sample number, VIN1+(V), VIN1-(V)
0, 3.000000,  1 
1, 3.000000,  1.0076 
2, 3.000000,  1.01542 
3, 3.000000,  1.02323 
4, 3.000000,  1.03104 
5, 3.000000,  1.03885 
6, 3.000000,  1.04667 
7, 3.000000,  1.05448 
8, 3.000000,  1.06229 
9, 3.000000,  1.0701 
10, 3.000000,  1.07792 
11, 3.000000,  1.08573 
12, 3.000000,  1.09354 
13, 3.000000,  1.10135 
14, 3.000000,  1.10917 
15, 3.000000,  1.11698 
16, 3.000000,  1.12479 
17, 3.000000,  1.1326 
18, 3.000000,  1.14042 
19, 3.000000,  1.14823 
20, 3.000000,  1.15604 
21, 3.000000,  1.16385 
22, 3.000000,  1.17167 
23, 3.000000,  1.17948 
24, 3.000000,  1.18729 
25, 3.000000,  1.1951 
26, 3.000000,  1.20292 
27, 3.000000,  1.21073 
28, 3.000000,  1.21854 
29, 3.000000,  1.22635 
30, 3.000000,  1.23417 
31, 3.000000,  1.24198 
32, 3.000000,  1.24979 
33, 3.000000,  1.2576 
34, 3.000000,  1.26542 
35, 3.000000,  1.27323 
36, 3.000000,  1.28104 
37, 3.000000,  1.28885 
38, 3.000000,  1.29667 
39, 3.000000,  1.30448 
40, 3.000000,  1.31229 
41, 3.000000,  1.3201 
42, 3.000000,  1.32792 
43, 3.000000,  1.33573 
44, 3.000000,  1.34354 
45, 3.000000,  1.35135 
46, 3.000000,  1.35917 
47, 3.000000,  1.36698 
48, 3.000000,  1.37479 
49, 3.000000,  1.3826 
50, 3.000000,  1.39042 
51, 3.000000,  1.39823 
52, 3.000000,  1.40604 
53, 3.000000,  1.41385 
54, 3.000000,  1.42167 
55, 3.000000,  1.42948 
56, 3.000000,  1.43729 
57, 3.000000,  1.4451 
58, 3.000000,  1.45292 
59, 3.000000,  1.46073 
60, 3.000000,  1.46854 
61, 3.000000,  1.47635 
62, 3.000000,  1.48417 
63, 3.000000,  1.49198 
64, 3.000000,  1.49979 
65, 3.000000,  1.5076 
66, 3.000000,  1.51542 
67, 3.000000,  1.52323 
68, 3.000000,  1.53104 
69, 3.000000,  1.53885 
70, 3.000000,  1.54667 
71, 3.000000,  1.55448 
72, 3.000000,  1.56229 
73, 3.000000,  1.5701 
74, 3.000000,  1.57792 
75, 3.000000,  1.58573 
76, 3.000000,  1.59354 
77, 3.000000,  1.60135 
78, 3.000000,  1.60917 
79, 3.000000,  1.61698 
80, 3.000000,  1.62479 
81, 3.000000,  1.6326 
82, 3.000000,  1.64042 
83, 3.000000,  1.64823 
84, 3.000000,  1.65604 
85, 3.000000,  1.66385 
86, 3.000000,  1.67167 
87, 3.000000,  1.67948 
88, 3.000000,  1.68729 
89, 3.000000,  1.6951 
90, 3.000000,  1.70292 
91, 3.000000,  1.71073 
92, 3.000000,  1.71854 
93, 3.000000,  1.72635 
94, 3.000000,  1.73417 
95, 3.000000,  1.74198 
96, 3.000000,  1.74979 
97, 3.000000,  1.7576 
98, 3.000000,  1.76542 
99, 3.000000,  1.77323 
100, 3.000000,  1.78104 
101, 3.000000,  1.78885 
102, 3.000000,  1.79667 
103, 3.000000,  1.80448 
104, 3.000000,  1.81229 
105, 3.000000,  1.8201 
106, 3.000000,  1.82792 
107, 3.000000,  1.83573 
108, 3.000000,  1.84354 
109, 3.000000,  1.85135 
110, 3.000000,  1.85917 
111, 3.000000,  1.86698 
112, 3.000000,  1.87479 
113, 3.000000,  1.8826 
114, 3.000000,  1.89042 
115, 3.000000,  1.89823 
116, 3.000000,  1.90604 
117, 3.000000,  1.91385 
118, 3.000000,  1.92167 
119, 3.000000,  1.92948 
120, 3.000000,  1.93729 
121, 3.000000,  1.9451 
122, 3.000000,  1.95292 
123, 3.000000,  1.96073 
124, 3.000000,  1.96854 
125, 3.000000,  1.97635 
126, 3.000000,  1.98417 
127, 3.000000,  1.99198 
128, 3.000000,  1.99979 
129, 3.000000,  2.0076 
130, 3.000000,  2.01542 
131, 3.000000,  2.02323 
132, 3.000000,  2.03104 
133, 3.000000,  2.03885 
134, 3.000000,  2.04667 
135, 3.000000,  2.05448 
136, 3.000000,  2.06229 
137, 3.000000,  2.0701 
138, 3.000000,  2.07792 
139, 3.000000,  2.08573 
140, 3.000000,  2.09354 
141, 3.000000,  2.10135 
142, 3.000000,  2.10917 
143, 3.000000,  2.11698 
144, 3.000000,  2.12479 
145, 3.000000,  2.1326 
146, 3.000000,  2.14042 
147, 3.000000,  2.14823 
148, 3.000000,  2.15604 
149, 3.000000,  2.16385 
150, 3.000000,  2.17167 
151, 3.000000,  2.17948 
152, 3.000000,  2.18729 
153, 3.000000,  2.1951 
154, 3.000000,  2.20292 
155, 3.000000,  2.21073 
156, 3.000000,  2.21854 
157, 3.000000,  2.22635 
158, 3.000000,  2.23417 
159, 3.000000,  2.24198 
160, 3.000000,  2.24979 
161, 3.000000,  2.2576 
162, 3.000000,  2.26542 
163, 3.000000,  2.27323 
164, 3.000000,  2.28104 
165, 3.000000,  2.28885 
166, 3.000000,  2.29667 
167, 3.000000,  2.30448 
168, 3.000000,  2.31229 
169, 3.000000,  2.3201 
170, 3.000000,  2.32792 
171, 3.000000,  2.33573 
172, 3.000000,  2.34354 
173, 3.000000,  2.35135 
174, 3.000000,  2.35917 
175, 3.000000,  2.36698 
176, 3.000000,  2.37479 
177, 3.000000,  2.3826 
178, 3.000000,  2.39042 
179, 3.000000,  2.39823 
180, 3.000000,  2.40604 
181, 3.000000,  2.41385 
182, 3.000000,  2.42167 
183, 3.000000,  2.42948 
184, 3.000000,  2.43729 
185, 3.000000,  2.4451 
186, 3.000000,  2.45292 
187, 3.000000,  2.46073 
188, 3.000000,  2.46854 
189, 3.000000,  2.47635 
190, 3.000000,  2.48417 
191, 3.000000,  2.49198 
192, 3.000000,  2.49979 
193, 3.000000,  2.5076 
194, 3.000000,  2.51542 
195, 3.000000,  2.52323 
196, 3.000000,  2.53104 
197, 3.000000,  2.53885 
198, 3.000000,  2.54667 
199, 3.000000,  2.55448 
200, 3.000000,  2.56229 
201, 3.000000,  2.5701 
202, 3.000000,  2.57792 
203, 3.000000,  2.58573 
204, 3.000000,  2.59354 
205, 3.000000,  2.60135 
206, 3.000000,  2.60917 
207, 3.000000,  2.61698 
208, 3.000000,  2.62479 
209, 3.000000,  2.6326 
210, 3.000000,  2.64042 
211, 3.000000,  2.64823 
212, 3.000000,  2.65604 
213, 3.000000,  2.66385 
214, 3.000000,  2.67167 
215, 3.000000,  2.67948 
216, 3.000000,  2.68729 
217, 3.000000,  2.6951 
218, 3.000000,  2.70292 
219, 3.000000,  2.71073 
220, 3.000000,  2.71854 
221, 3.000000,  2.72635 
222, 3.000000,  2.73417 
223, 3.000000,  2.74198 
224, 3.000000,  2.74979 
225, 3.000000,  2.7576 
226, 3.000000,  2.76542 
227, 3.000000,  2.77323 
228, 3.000000,  2.78104 
229, 3.000000,  2.78885 
230, 3.000000,  2.79667 
231, 3.000000,  2.80448 
232, 3.000000,  2.81229 
233, 3.000000,  2.8201 
234, 3.000000,  2.82792 
235, 3.000000,  2.83573 
236, 3.000000,  2.84354 
237, 3.000000,  2.85135 
238, 3.000000,  2.85917 
239, 3.000000,  2.86698 
240, 3.000000,  2.87479 
241, 3.000000,  2.8826 
242, 3.000000,  2.89042 
243, 3.000000,  2.89823 
244, 3.000000,  2.90604 
245, 3.000000,  2.91385 
246, 3.000000,  2.92167 
247, 3.000000,  2.92948 
248, 3.000000,  2.93729 
249, 3.000000,  2.9451 
250, 3.000000,  2.95292 
251, 3.000000,  2.96073 
252, 3.000000,  2.96854 
253, 3.000000,  2.97635 
254, 3.000000,  2.98417 
