sample number, Q11~Q0
sample number, Q11~Q0
0, 001010111101 , 
1, 001010101111 , 
2, 001010100001 , 
3, 001010010010 , 
4, 001010000011 , 
5, 001001110101 , 
6, 001001100110 , 
7, 001001011000 , 
8, 001001001001 , 
9, 001000111011 , 
10, 001000101100 , 
11, 001000011101 , 
12, 001000001111 , 
13, 010000000000 , 
14, 010000000000 , 
15, 010000000000 , 
16, 010000000000 , 
17, 010000000000 , 
18, 010111111011 , 
19, 010111101101 , 
20, 010111011110 , 
21, 010111010000 , 
22, 010111000001 , 
23, 010110110011 , 
24, 010110100101 , 
25, 010110010110 , 
26, 010110001000 , 
27, 010101111001 , 
28, 010101101011 , 
29, 010101011101 , 
30, 010101001110 , 
31, 010101000000 , 
32, 010100110001 , 
33, 010100100011 , 
34, 010100010100 , 
35, 010100000110 , 
36, 010011111000 , 
37, 010011101001 , 
38, 010011011011 , 
39, 010011001100 , 
40, 010010111110 , 
41, 010010101111 , 
42, 010010100001 , 
43, 010010010010 , 
44, 010010000011 , 
45, 010001110101 , 
46, 010001100110 , 
47, 010001011000 , 
48, 010001001001 , 
49, 010000111010 , 
50, 010000101100 , 
51, 010000011101 , 
52, 010000001111 , 
53, 011000000000 , 
54, 011000000000 , 
55, 011000000000 , 
56, 011000000000 , 
57, 011000000000 , 
58, 011111111011 , 
59, 011111101101 , 
60, 011111011110 , 
61, 011111010000 , 
62, 011111000001 , 
63, 011110110011 , 
64, 011110100101 , 
65, 011110010110 , 
66, 011110001000 , 
67, 011101111010 , 
68, 011101101011 , 
69, 011101011101 , 
70, 011101001110 , 
71, 011101000000 , 
72, 011100110001 , 
73, 011100100011 , 
74, 011100010100 , 
75, 011100000110 , 
76, 011011110111 , 
77, 011011101001 , 
78, 011011011010 , 
79, 011011001100 , 
80, 011010111101 , 
81, 011010101111 , 
82, 011010100001 , 
83, 011010010010 , 
84, 011010000011 , 
85, 011001110101 , 
86, 011001100110 , 
87, 011001011000 , 
88, 011001001001 , 
89, 011000111010 , 
90, 011000101100 , 
91, 011000011101 , 
92, 011000001111 , 
93, 100000000000 , 
94, 100000000000 , 
95, 100000000000 , 
96, 100000000000 , 
97, 100000000000 , 
98, 100111111011 , 
99, 100111101100 , 
100, 100111011110 , 
101, 100111010000 , 
102, 100111000001 , 
103, 100110110011 , 
104, 100110100101 , 
105, 100110010110 , 
106, 100110001000 , 
107, 100101111001 , 
108, 100101101011 , 
109, 100101011101 , 
110, 100101001110 , 
111, 100101000000 , 
112, 100100110001 , 
113, 100100100011 , 
114, 100100010100 , 
115, 100100000110 , 
116, 100011110111 , 
117, 100011101001 , 
118, 100011011010 , 
119, 100011001100 , 
120, 100010111101 , 
121, 100010101111 , 
122, 100010100000 , 
123, 100010010010 , 
124, 100010000011 , 
125, 100001110101 , 
126, 100001100110 , 
127, 100001010111 , 
128, 100001001001 , 
129, 100000111010 , 
130, 100000101100 , 
131, 100000011101 , 
132, 100000001110 , 
133, 101000000000 , 
134, 101000000000 , 
135, 101000000000 , 
136, 101000000000 , 
137, 101000000000 , 
138, 101111111010 , 
139, 101111101100 , 
140, 101111011110 , 
141, 101111010000 , 
142, 101111000001 , 
143, 101110110011 , 
144, 101110100100 , 
145, 101110010110 , 
146, 101110001000 , 
147, 101101111001 , 
148, 101101101011 , 
149, 101101011100 , 
150, 101101001110 , 
151, 101101000000 , 
152, 101100110001 , 
153, 101100100011 , 
154, 101100010100 , 
155, 101100000110 , 
156, 101011110111 , 
157, 101011101001 , 
158, 101011011010 , 
159, 101011001100 , 
160, 101010111101 , 
161, 101010101111 , 
162, 101010100000 , 
163, 101010010010 , 
164, 101010000011 , 
165, 101001110100 , 
166, 101001100110 , 
167, 101001010111 , 
168, 101001001001 , 
169, 101000111010 , 
170, 101000101100 , 
171, 101000011101 , 
172, 101000001110 , 
173, 110000000000 , 
174, 110000000000 , 
175, 110000000000 , 
176, 110000000000 , 
177, 110000000000 , 
178, 110111111011 , 
179, 110111101100 , 
180, 110111011110 , 
181, 110111010000 , 
182, 110111000001 , 
183, 110110110011 , 
184, 110110100100 , 
185, 110110010110 , 
186, 110110001000 , 
187, 110101111001 , 
188, 110101101011 , 
189, 110101011100 , 
190, 110101001110 , 
191, 110101000000 , 
192, 110100110001 , 
193, 110100100011 , 
194, 110100010100 , 
195, 110100000110 , 
196, 110011110111 , 
197, 110011101001 , 
198, 110011011010 , 
199, 110011001100 , 
200, 110010111101 , 
201, 110010101111 , 
202, 110010100000 , 
203, 110010010010 , 
204, 110010000011 , 
205, 110001110100 , 
206, 110001100110 , 
207, 110001010111 , 
208, 110001001001 , 
209, 110000111010 , 
210, 110000101100 , 
211, 110000011101 , 
212, 110000001110 , 
213, 111000000000 , 
214, 111000000000 , 
215, 111000000000 , 
216, 111000000000 , 
217, 111000000000 , 
218, 111111111010 , 
219, 111111101100 , 
220, 111111011110 , 
221, 111111010000 , 
222, 111111000001 , 
223, 111110110011 , 
224, 111110100100 , 
225, 111110010110 , 
226, 111110001000 , 
227, 111101111001 , 
228, 111101101011 , 
229, 111101011100 , 
230, 111101001110 , 
231, 111101000000 , 
232, 111100110001 , 
233, 111100100011 , 
234, 111100010100 , 
235, 111100000110 , 
236, 111011110111 , 
237, 111011101001 , 
238, 111011011010 , 
239, 111011001100 , 
