sample_number, vin1_plus, vin1_minus, digital_code, digital_code(radix 10)
0, 3.500000, 0.9, 111000000000, 2.600000, 3584
1, 3.500000, 0.904942, 111000000000, 2.595058, 3584
2, 3.500000, 0.91002, 111000000000, 2.589980, 3584
3, 3.500000, 0.915098, 111000000000, 2.584902, 3584
4, 3.500000, 0.920176, 111000000000, 2.579824, 3584
5, 3.500000, 0.925254, 111000000000, 2.574746, 3584
6, 3.500000, 0.930333, 111000000000, 2.569667, 3584
7, 3.500000, 0.935411, 111000000000, 2.564589, 3584
8, 3.500000, 0.940489, 111111111010, 2.559511, 4090
9, 3.500000, 0.945567, 111111110100, 2.554433, 4084
10, 3.500000, 0.950645, 111111101111, 2.549355, 4079
11, 3.500000, 0.955723, 111111101001, 2.544277, 4073
12, 3.500000, 0.960801, 111111100011, 2.539199, 4067
13, 3.500000, 0.965879, 111111011101, 2.534121, 4061
14, 3.500000, 0.970958, 111111010111, 2.529042, 4055
15, 3.500000, 0.976036, 111111010001, 2.523964, 4049
16, 3.500000, 0.981114, 111111001011, 2.518886, 4043
17, 3.500000, 0.986192, 111111000110, 2.513808, 4038
18, 3.500000, 0.99127, 111111000000, 2.508730, 4032
19, 3.500000, 0.996348, 111110111010, 2.503652, 4026
20, 3.500000, 1.00143, 111110110100, 2.498570, 4020
21, 3.500000, 1.0065, 111110101111, 2.493500, 4015
22, 3.500000, 1.01158, 111110101001, 2.488420, 4009
23, 3.500000, 1.01666, 111110100011, 2.483340, 4003
24, 3.500000, 1.02174, 111110011101, 2.478260, 3997
25, 3.500000, 1.02682, 111110010111, 2.473180, 3991
26, 3.500000, 1.0319, 111110010001, 2.468100, 3985
27, 3.500000, 1.03697, 111110001100, 2.463030, 3980
28, 3.500000, 1.04205, 111110000110, 2.457950, 3974
29, 3.500000, 1.04713, 111110000000, 2.452870, 3968
30, 3.500000, 1.05221, 111101111010, 2.447790, 3962
31, 3.500000, 1.05729, 111101110100, 2.442710, 3956
32, 3.500000, 1.06236, 111101101111, 2.437640, 3951
33, 3.500000, 1.06744, 111101101001, 2.432560, 3945
34, 3.500000, 1.07252, 111101100011, 2.427480, 3939
35, 3.500000, 1.0776, 111101011101, 2.422400, 3933
36, 3.500000, 1.08268, 111101010111, 2.417320, 3927
37, 3.500000, 1.08775, 111101010001, 2.412250, 3921
38, 3.500000, 1.09283, 111101001100, 2.407170, 3916
39, 3.500000, 1.09791, 111101000110, 2.402090, 3910
40, 3.500000, 1.10299, 111101000000, 2.397010, 3904
41, 3.500000, 1.10807, 111100111010, 2.391930, 3898
42, 3.500000, 1.11315, 111100110100, 2.386850, 3892
43, 3.500000, 1.11822, 111100101111, 2.381780, 3887
44, 3.500000, 1.1233, 111100101001, 2.376700, 3881
45, 3.500000, 1.12838, 111100100011, 2.371620, 3875
46, 3.500000, 1.13346, 111100011101, 2.366540, 3869
47, 3.500000, 1.13854, 111100010111, 2.361460, 3863
48, 3.500000, 1.14361, 111100010001, 2.356390, 3857
49, 3.500000, 1.14869, 111100001100, 2.351310, 3852
50, 3.500000, 1.15377, 111100000110, 2.346230, 3846
51, 3.500000, 1.15885, 111100000000, 2.341150, 3840
52, 3.500000, 1.16393, 111011111010, 2.336070, 3834
53, 3.500000, 1.169, 111011110100, 2.331000, 3828
54, 3.500000, 1.17408, 111011101111, 2.325920, 3823
55, 3.500000, 1.17916, 111011101001, 2.320840, 3817
56, 3.500000, 1.18424, 111011100011, 2.315760, 3811
57, 3.500000, 1.18932, 111011011101, 2.310680, 3805
