WL14_1,SL21_2,VOUT1C_3,VOUT1B_4,EOSROW
SL19_1,VOUT1B_2,VOUT1A_3,VOUT2C_4,VBTEST
BL21_1,WL27_2,VOUT2B_3,VOUT1D_4,VBCOLOP
WL3_1,WL13_2,VOUT2A_3,VDD_4,SH1
BL12_1,WL10_2,VDD_3,VOUT1C_4,VBOP
SL29_1,SL18_2,VOUT1D_3,VOUT2A_4,VNDET
WL20_1,SL24_2,VOUT2D_3,VOUT1A_4,VBSF
BL3_1,BL15_2,VOUT1B_3,VOUT2D_4,CLKCOL
BL20_1,SL3_2,VOUT2C_3,VOUT2B_4,STCOL
WL18_1,BL16_2,,,VBOPN
WL29_1,WL9_2,,,STCOLOP
SL3_1,WL6_2,,,VBOPP
SL25_1,BL26_2,,,SELCAP
BL23_1,SL8_2,,,VREF
SL27_1,VOUT1D_2,,,GND
BL22_1,WL11_2,,,RESET
BL26_1,WL18_2,,,SH2
WL13_1,VOUT2A_2,,,CLKROW
BL1_1,WL15_2,,,STROW
WL21_1,BL13_2,,,VBOUT
WL16_1,SL14_2,,,EOSCOL
BL7_1,SL15_2,,,
VOUT2A_1,BL10_2,,,
SL28_1,SL22_2,,,
WL7_1,SL28_2,,,
WL0_1,WL25_2,,,
WL5_1,SL7_2,,,
WL25_1,WL2_2,,,
BL18_1,WL12_2,,,
VOUT1D_1,VOUT1A_2,,,
SL20_1,WL29_2,,,
SL5_1,BL24_2,,,
BL17_1,BL17_2,,,
WL10_1,WL0_2,,,
WL9_1,WL26_2,,,
VDD_1,WL4_2,,,
SL22_1,SL2_2,,,
WL1_1,BL2_2,,,
SL18_1,WL28_2,,,
BL15_1,BL27_2,,,
WL12_1,BL12_2,,,
WL26_1,SL25_2,,,
BL14_1,WL17_2,,,
SL10_1,BL14_2,,,
WL4_1,SL19_2,,,
VOUT1C_1,WL14_2,,,
WL28_1,WL19_2,,,
SL0_1,WL22_2,,,
VOUT1A_1,SL12_2,,,
BL11_1,SL23_2,,,
BL16_1,BL1_2,,,
SL17_1,BL31_2,,,
WL24_1,BL4_2,,,
VOUT2D_1,WL7_2,,,
SL16_1,WL3_2,,,
WL23_1,BL7_2,,,
SL30_1,BL18_2,,,
SL31_1,SL27_2,,,
WL22_1,SL16_2,,,
SL7_1,BL30_2,,,
VOUT1B_1,SL5_2,,,
WL15_1,WL5_2,,,
SL1_1,BL19_2,,,
SL4_1,SL13_2,,,
BL31_1,SL29_2,,,
BL6_1,SL17_2,,,
WL31_1,VOUT2C_2,,,
VOUT2C_1,SL6_2,,,
SL14_1,BL25_2,,,
WL8_1,WL24_2,,,
WL6_1,BL6_2,,,
BL0_1,VOUT2D_2,,,
BL5_1,WL8_2,,,
SL15_1,BL0_2,,,
SL21_1,VDD_2,,,
BL2_1,SL4_2,,,
SL23_1,SL31_2,,,
BL13_1,SL11_2,,,
WL27_1,WL1_2,,,
BL25_1,BL29_2,,,
SL6_1,BL21_2,,,
BL4_1,SL10_2,,,
SL2_1,WL20_2,,,
SL26_1,BL11_2,,,
BL19_1,SL20_2,,,
VOUT2B_1,WL23_2,,,
WL17_1,WL30_2,,,
BL24_1,SL1_2,,,
BL30_1,SL9_2,,,
BL9_1,VOUT1C_2,,,
BL27_1,BL22_2,,,
WL30_1,VOUT2B_2,,,
WL19_1,BL9_2,,,
BL10_1,WL21_2,,,
WL2_1,WL31_2,,,
SL9_1,WL16_2,,,
SL12_1,BL28_2,,,
WL11_1,SL26_2,,,
BL8_1,BL3_2,,,
BL29_1,BL20_2,,,
SL11_1,BL5_2,,,
SL24_1,BL8_2,,,
SL13_1,BL23_2,,,
SL8_1,SL30_2,,,
BL28_1,SL0_2,,,
